"TRIP_ID","LATITUDE","LONGITUDE"
"T1",41.143905,-8.579772
"T2",41.182884,-8.600436
"T3",41.181102,-8.553465
"T4",41.146713,-8.615133
"T5",41.152302,-8.618733
"T6",41.158566,-8.644752
"T7",41.148072,-8.586135
"T8",41.185836,-8.574264
"T9",41.12748,-8.58024
"T10",41.193189,-8.576415
"T11",41.160141,-8.570682
"T12",41.14962,-8.604855
"T13",41.158008,-8.596575
"T14",41.143752,-8.602416
"T15",41.146182,-8.607177
"T16",41.237064,-8.67006
"T17",41.148837,-8.631243
"T18",41.159223,-8.636922
"T19",41.237244,-8.670123
"T20",41.159862,-8.66637
"T21",41.142762,-8.574831
"T22",41.14782,-8.607906
"T23",41.159232,-8.634978
"T24",41.152572,-8.629839
"T25",41.155317,-8.630226
"T26",41.169312,-8.591139
"T27",41.166612,-8.595972
"T28",41.146965,-8.590437
"T29",41.144634,-8.606601
"T30",41.153616,-8.566326
"T31",41.237433,-8.670204
"T32",41.136966,-8.616942
"T33",41.15934,-8.638533
"T34",41.148135,-8.605431
"T35",41.17257,-8.62947
"T36",41.164362,-8.645418
"T37",41.137686,-8.596539
"T38",41.155209,-8.628579
"T39",41.14863,-8.586045
"T40",41.137488,-8.614242
"T41",41.171643,-8.61264
"T42",41.17086,-8.588601
"T43",41.15457,-8.611929
"T44",41.137407,-8.596341
"T45",41.145894,-8.614152
"T46",41.146218,-8.617743
"T47",41.146191,-8.614143
"T48",41.158503,-8.623593
"T49",41.146686,-8.605575
"T50",41.159205,-8.643951
"T51",41.153598,-8.605503
"T52",41.150646,-8.606916
"T53",41.160312,-8.609391
"T54",41.162715,-8.590563
"T55",41.180571,-8.603109
"T56",41.188113,-8.624439
"T57",41.172057,-8.598159
"T58",41.159169,-8.628903
"T59",41.154345,-8.64
"T60",41.159889,-8.602749
"T61",41.150709,-8.598663
"T62",41.14881,-8.584209
"T63",41.171238,-8.594748
"T64",41.18004,-8.590725
"T65",41.136462,-8.60634
"T66",41.186088,-8.597475
"T67",41.143212,-8.608059
"T68",41.162625,-8.633106
"T69",41.136489,-8.625285
"T70",41.165298,-8.619678
"T71",41.000346,-8.159139
"T72",41.161059,-8.640711
"T73",41.152032,-8.590644
"T74",41.147946,-8.612289
"T75",41.165136,-8.598798
"T76",41.166738,-8.626122
"T77",41.16123,-8.607366
"T78",41.149926,-8.660205
"T79",41.182866,-8.60049
"T80",41.171229,-8.655597
"T81",41.156622,-8.629488
"T82",41.154327,-8.647227
"T83",41.162499,-8.656812
"T84",41.166558,-8.626536
"T85",41.152563,-8.620065
"T86",41.148882,-8.585748
"T87",41.236434,-8.670033
"T88",41.170338,-8.582877
"T90",41.152995,-8.637795
"T91",41.155353,-8.630361
"T92",41.237793,-8.669538
"T93",41.168124,-8.689329
"T94",41.149296,-8.661879
"T95",41.151546,-8.610669
"T96",41.19237,-8.63226
"T98",41.157738,-8.609976
"T99",41.146596,-8.6112
"T100",41.144265,-8.605458
"T101",41.148207,-8.612352
"T102",41.14611,-8.60202
"T103",41.146065,-8.610669
"T104",41.20461,-8.562996
